,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
679,A0A384CHV0,Cytoplasmic,0.0004,0.3165,0.6042,0.0691,0.0092,0.0006
680,A0A0M1NJ44,Outer Membrane,0.0759,0.4271,0.0099,0.0148,0.4722,0.0001
681,H1C985,Extracellular,0.0251,0.3890,0.0358,0.1682,0.3805,0.0014
682,A0A2S4GQX6,Extracellular,0.0536,0.7738,0.1189,0.0033,0.0502,0.0003
683,U2C5F3,Extracellular,0.0102,0.4340,0.0607,0.1885,0.3036,0.0029
684,A0A1K1PU18,Extracellular,0.0002,0.9991,0.0000,0.0000,0.0006,0.0001
685,A0A374VGK1,Extracellular,0.0041,0.9880,0.0001,0.0001,0.0054,0.0023
686,U2LQP2,Extracellular,0.0002,0.9979,0.0000,0.0000,0.0004,0.0016
687,A0A395WCN5,Extracellular,0.0002,0.9324,0.0176,0.0293,0.0203,0.0001
688,R7P719,Extracellular,0.0001,0.9819,0.0017,0.0001,0.0044,0.0119
689,A0A0V8RYM8,Extracellular,0.0113,0.9851,0.0001,0.0008,0.0012,0.0016
690,A0A1Y4GR33,Extracellular,0.0196,0.7344,0.0013,0.0125,0.1682,0.0639
691,A0A2L2X4E2,Extracellular,0.0657,0.4469,0.0638,0.0351,0.3480,0.0406
692,A0A3C2EP01,Extracellular,0.0000,0.9997,0.0000,0.0000,0.0003,0.0000
693,A0A1Y4GSE7,Extracellular,0.0086,0.5429,0.0009,0.2783,0.0166,0.1528
694,A0A1Y3WLM0,Extracellular,0.0239,0.7760,0.0001,0.0054,0.1746,0.0201
695,A0A373LB05,Extracellular,0.0023,0.9962,0.0000,0.0000,0.0012,0.0003
696,A0A285PMJ8,Extracellular,0.0037,0.9351,0.0001,0.0033,0.0158,0.0419
697,R7DP85,Extracellular,0.0298,0.8258,0.0001,0.1292,0.0152,0.0000
698,G6B1Y3,Extracellular,0.0096,0.8942,0.0003,0.0037,0.0862,0.0060
699,K1T2T0,Extracellular,0.0047,0.5124,0.0020,0.0327,0.0832,0.3650
700,A0A1L8UIZ6,Extracellular,0.0035,0.9905,0.0000,0.0053,0.0007,0.0000
701,A0A3D2CIY2,Extracellular,0.0002,0.9997,0.0000,0.0000,0.0001,0.0000
702,R6N374,Extracellular,0.0022,0.9962,0.0001,0.0002,0.0012,0.0001
703,H3SHP5,Extracellular,0.0456,0.8916,0.0182,0.0389,0.0054,0.0003
704,A0A354HYE3,Extracellular,0.0091,0.5970,0.3234,0.0493,0.0163,0.0049
705,R7EI88,Extracellular,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
706,A0A373M3X8,Extracellular,0.0005,0.9983,0.0000,0.0000,0.0011,0.0001
707,A0A316RQ12,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0001,0.0000
708,R7PDX5,Extracellular,0.0253,0.5445,0.0075,0.0113,0.3372,0.0742
709,A0A316RIQ3,Extracellular,0.0001,0.9998,0.0000,0.0000,0.0001,0.0000
710,H1CM99,Extracellular,0.0000,0.9998,0.0000,0.0000,0.0002,0.0000
711,A0A2V2D0D3,Extracellular,0.0002,0.9992,0.0000,0.0000,0.0003,0.0003
712,A0A2S7RNN4,Extracellular,0.0017,0.9981,0.0000,0.0001,0.0002,0.0001
713,A0A0H5PWI6,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0001,0.0000
714,F1Q2T6,Cytoplasmic,0.0017,0.0676,0.7147,0.0975,0.0612,0.0573
715,A0A384CE41,Cytoplasmic,0.0018,0.0296,0.7946,0.0191,0.0358,0.1190
716,A0A384CBD7,Cytoplasmic,0.0009,0.0498,0.7548,0.0767,0.0109,0.1069
717,A0A384C307,Cytoplasmic,0.0001,0.1739,0.7025,0.0877,0.0098,0.0260
718,J9NXH8,Extracellular,0.0018,0.4140,0.3229,0.1505,0.0065,0.1043
719,K7ET15,Cytoplasmic,0.0004,0.3399,0.6130,0.0330,0.0005,0.0132
720,B7AUT5,Extracellular,0.0107,0.9809,0.0007,0.0003,0.0038,0.0036
721,A0A1Y4EP72,Extracellular,0.0393,0.9338,0.0118,0.0042,0.0066,0.0043
722,A0A373Q9K8,Extracellular,0.0788,0.8731,0.0002,0.0001,0.0473,0.0005
723,R7AP17,Extracellular,0.0062,0.9858,0.0011,0.0004,0.0032,0.0033
724,A0A0F8CU93,Cytoplasmic,0.0083,0.0861,0.8313,0.0277,0.0172,0.0295
725,A0A373SC17,Extracellular,0.0145,0.7720,0.0003,0.2072,0.0060,0.0001
726,A0A373HM66,Extracellular,0.0173,0.5369,0.0074,0.4194,0.0189,0.0001
727,A0A1Y4NBU9,Extracellular,0.0132,0.5141,0.0008,0.4244,0.0476,0.0000
728,F2JPK9,Extracellular,0.0014,0.9984,0.0000,0.0000,0.0001,0.0000
729,G9WXW7,Extracellular,0.0200,0.9690,0.0002,0.0008,0.0071,0.0028
730,A0A317RZ66,Extracellular,0.0059,0.9922,0.0002,0.0002,0.0014,0.0001
731,G9XE32,Extracellular,0.0105,0.9871,0.0000,0.0001,0.0009,0.0014
732,A0A087WV37,Cytoplasmic,0.0192,0.1823,0.6843,0.0868,0.0212,0.0062
733,C0EZA4,Extracellular,0.0010,0.9983,0.0001,0.0001,0.0005,0.0001
734,H2NAG0,Cytoplasmic,0.0967,0.1818,0.6161,0.0092,0.0825,0.0137
735,A0A2J4JLL3,Cytoplasmic Membrane,0.0364,0.4541,0.0011,0.4891,0.0186,0.0008
736,R6WSG5,Extracellular,0.0034,0.9837,0.0001,0.0005,0.0108,0.0016
737,A0A352TIW3,Cytoplasmic Membrane,0.0003,0.1745,0.0000,0.7882,0.0370,0.0000
738,A0A3E2XCS7,Extracellular,0.0371,0.6590,0.0009,0.2833,0.0191,0.0005
739,A0A1Y4TS04,Cytoplasmic Membrane,0.0025,0.1572,0.0001,0.7255,0.1144,0.0003
740,A0A3D6BMB7,Cytoplasmic Membrane,0.0013,0.1054,0.0243,0.7457,0.1203,0.0031
741,A0A3E2TYS8,Cytoplasmic Membrane,0.0417,0.4165,0.0029,0.4912,0.0472,0.0005
742,R5UXX3,Cytoplasmic Membrane,0.0010,0.2017,0.0001,0.7343,0.0627,0.0002
743,R5CXI4,Cytoplasmic Membrane,0.0034,0.0672,0.0075,0.6667,0.2535,0.0017
744,A0A3D4EH92,Cytoplasmic Membrane,0.0012,0.0687,0.0012,0.8668,0.0614,0.0007
745,A0A1V0RG21,Extracellular,0.0041,0.7752,0.0005,0.0014,0.2029,0.0159
746,A0A316NTZ5,Cytoplasmic Membrane,0.0003,0.0074,0.0012,0.9544,0.0358,0.0008
747,A0A173R920,Cytoplasmic Membrane,0.0013,0.0752,0.0002,0.8719,0.0514,0.0000
748,C5F2N2,Extracellular,0.0004,0.9873,0.0000,0.0001,0.0085,0.0037
749,R6CA73,Extracellular,0.0107,0.9877,0.0001,0.0001,0.0014,0.0000
750,A0A1C5U249,Extracellular,0.0007,0.9987,0.0002,0.0000,0.0004,0.0000
751,C0D0H1,Cytoplasmic Membrane,0.0013,0.1233,0.0002,0.8587,0.0163,0.0002
752,B5CPT7,Cytoplasmic Membrane,0.0002,0.2043,0.0000,0.7471,0.0484,0.0000
753,A0A1Y3XK56,Cytoplasmic Membrane,0.0268,0.2769,0.0082,0.6511,0.0347,0.0024
754,R5B8A5,Cytoplasmic Membrane,0.0001,0.0293,0.0002,0.9468,0.0236,0.0000
755,F0Z2H1,Extracellular,0.0048,0.5745,0.0006,0.3510,0.0679,0.0012
756,A0A396QW80,Cytoplasmic Membrane,0.0136,0.1838,0.0007,0.7714,0.0300,0.0004
757,A0A1C5UWU4,Cytoplasmic Membrane,0.0019,0.1827,0.0001,0.7591,0.0561,0.0001
758,A0A3A9BC86,Extracellular,0.0428,0.9482,0.0001,0.0024,0.0056,0.0009
759,A0A2Y9CAN7,Extracellular,0.0033,0.5456,0.0004,0.3039,0.1466,0.0002
760,A0A1Y4FEY5,Cytoplasmic Membrane,0.0011,0.1811,0.0007,0.6940,0.1211,0.0019
761,A0A1C5KUS0,Cytoplasmic Membrane,0.0056,0.1503,0.0157,0.6708,0.1537,0.0040
762,A0A3E2X3Q5,Cytoplasmic Membrane,0.0025,0.4038,0.0004,0.4969,0.0948,0.0016
763,A0A315ZU65,Extracellular,0.0020,0.5304,0.0002,0.3123,0.1540,0.0010
764,A0A2Z4UC47,Cytoplasmic Membrane,0.0011,0.0896,0.0010,0.8595,0.0487,0.0001
765,A0A2V1JPY1,Cytoplasmic Membrane,0.0013,0.0999,0.0003,0.7562,0.1421,0.0001
766,R7H919,Cytoplasmic Membrane,0.0064,0.3550,0.0002,0.6250,0.0133,0.0000
767,A0A2R8Q0F7,Cytoplasmic,0.0006,0.0401,0.8801,0.0168,0.0174,0.0450
768,A0A087X158,Cytoplasmic,0.0018,0.1212,0.7182,0.0600,0.0928,0.0060
769,R7ENG8,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000
770,A0A3C1E6A8,Extracellular,0.0003,0.9980,0.0000,0.0000,0.0014,0.0002
771,A0A1T4Y6X5,Extracellular,0.0000,0.9997,0.0000,0.0000,0.0002,0.0000
772,E2R8H9,Cytoplasmic,0.0306,0.0803,0.5362,0.3272,0.0217,0.0041
773,A0A3D2CIN4,Cytoplasmic Membrane,0.0137,0.1844,0.0322,0.5081,0.2334,0.0283
774,R7GU80,Extracellular,0.0204,0.8417,0.0002,0.0043,0.1232,0.0102
775,A0A0D0QR19,Outer Membrane,0.0008,0.0966,0.0698,0.1449,0.5627,0.1252
776,W6S180,Extracellular,0.0001,0.9998,0.0000,0.0000,0.0000,0.0000
777,K6A1U6,Outer Membrane,0.1130,0.0573,0.0100,0.0213,0.7921,0.0062
778,K6A379,Outer Membrane,0.1216,0.0663,0.0104,0.0269,0.7690,0.0058
779,R6FT13,Extracellular,0.0133,0.7930,0.0005,0.0061,0.1736,0.0134
780,Q9HVT2,Cytoplasmic Membrane,0.0001,0.0107,0.0523,0.5404,0.0672,0.3293
781,A0A1B2I1V2,Periplasmic,0.0704,0.3043,0.0486,0.0035,0.0671,0.5063
782,R7J8J4,Extracellular,0.0212,0.5062,0.0497,0.0376,0.3217,0.0636
783,D4M9I1,Periplasmic,0.0006,0.0624,0.2802,0.0052,0.0456,0.6059
784,A7LR73,Outer Membrane,0.0121,0.4610,0.0026,0.0194,0.4976,0.0073
785,R6EW92,Outer Membrane,0.0081,0.2189,0.0011,0.0057,0.6772,0.0890
786,A0A3D8HJD1,Outer Membrane,0.0063,0.2464,0.0030,0.0080,0.6971,0.0393
787,A0A3E4P7V1,Outer Membrane,0.0025,0.1614,0.0020,0.0105,0.7949,0.0286
788,A0A1R4GQH8,Extracellular,0.0551,0.6277,0.0281,0.1677,0.0216,0.0998
789,A0A3D8HJ46,Outer Membrane,0.0097,0.2714,0.0266,0.0358,0.6190,0.0375
790,A0A073J4H5,Periplasmic,0.0286,0.1707,0.0875,0.0070,0.1765,0.5297
791,A0A2T4T6K4,Outer Membrane,0.0061,0.2037,0.0010,0.0115,0.7606,0.0171
792,A0A1B1I9J3,Outer Membrane,0.0025,0.3164,0.0031,0.0190,0.5694,0.0895
793,T5H8Z1,Extracellular,0.0168,0.4931,0.1120,0.3546,0.0021,0.0213
794,A0A229IAS9,Outer Membrane,0.0009,0.2069,0.0003,0.0191,0.4639,0.3089
795,R5M9N2,Outer Membrane,0.0563,0.2677,0.0081,0.0661,0.5396,0.0621
796,R6KDB2,Outer Membrane,0.0475,0.3607,0.0107,0.0589,0.4782,0.0440
797,A0A0M1NJH5,Cytoplasmic,0.0590,0.3112,0.3977,0.1432,0.0097,0.0791
798,A0A3C1E542,Outer Membrane,0.0011,0.2623,0.0007,0.0213,0.4751,0.2396
799,A0A0D0HBJ2,Extracellular,0.0046,0.3500,0.0010,0.1328,0.2859,0.2258
800,A0A2X1AE02,Cytoplasmic Membrane,0.0321,0.2250,0.0110,0.4306,0.1641,0.1373
801,D7NG34,Outer Membrane,0.0051,0.1093,0.0171,0.0106,0.5095,0.3484
802,R6X2S9,Outer Membrane,0.0002,0.0442,0.0022,0.0155,0.5123,0.4255
803,A0A3D8HAL3,Outer Membrane,0.0453,0.3106,0.0034,0.0291,0.6073,0.0043
804,A0A1M6J125,Outer Membrane,0.0347,0.2199,0.0023,0.0348,0.6627,0.0457
805,A0A2R3MR35,Outer Membrane,0.0068,0.1817,0.0006,0.0090,0.7655,0.0364
806,A0A1B2I6L5,Extracellular,0.0901,0.5198,0.1889,0.0294,0.0340,0.1378
807,R5B704,Outer Membrane,0.0008,0.0420,0.0065,0.0034,0.5084,0.4389
808,R6XNV9,Outer Membrane,0.0008,0.1429,0.0005,0.0138,0.5375,0.3046
809,G1VI52,Outer Membrane,0.0034,0.2040,0.0022,0.0722,0.6338,0.0844
810,A0A0A1WBH8,Outer Membrane,0.0097,0.0575,0.1679,0.1659,0.4628,0.1361
811,A0A0K9YMW8,Cytoplasmic Membrane,0.0265,0.3183,0.1301,0.5222,0.0016,0.0013
812,R5HXF3,Periplasmic,0.0042,0.2569,0.2242,0.0041,0.1353,0.3752
813,R5LRJ9,Outer Membrane,0.0015,0.2067,0.0005,0.0005,0.6793,0.1115
814,A0A1Y4N551,Extracellular,0.0163,0.4297,0.0085,0.1297,0.3724,0.0434
815,A0A353VSV2,Outer Membrane,0.0002,0.0220,0.0007,0.0037,0.5889,0.3845
816,A0A174QBD3,Extracellular,0.0177,0.7091,0.0210,0.0128,0.0516,0.1878
817,R6BFX4,Outer Membrane,0.0005,0.2410,0.0012,0.0039,0.4778,0.2757
818,R6CK85,Extracellular,0.0200,0.6608,0.0007,0.0685,0.1610,0.0890
819,R5F6F3,Extracellular,0.0028,0.6515,0.0045,0.0040,0.0151,0.3220
820,A0A3E5E6T7,Outer Membrane,0.0022,0.2234,0.0016,0.0165,0.4208,0.3356
821,C0D5B8,Extracellular,0.0251,0.5761,0.0196,0.3536,0.0118,0.0138
822,R6PV34,Outer Membrane,0.0013,0.1159,0.0015,0.0100,0.5597,0.3116
823,A0A134BFU1,Periplasmic,0.0068,0.1592,0.0195,0.0843,0.3362,0.3939
824,A0A255R7E2,Extracellular,0.0035,0.5292,0.0006,0.0022,0.4124,0.0522
825,A0A355U8J0,Outer Membrane,0.0008,0.0787,0.0022,0.0029,0.5312,0.3843
826,E6K695,Outer Membrane,0.0034,0.1421,0.0003,0.0036,0.8018,0.0488
827,A0A174RS17,Outer Membrane,0.0050,0.2745,0.0029,0.0064,0.6543,0.0568
828,R7H247,Outer Membrane,0.0149,0.3095,0.0013,0.0076,0.6018,0.0649
829,G8UQY8,Outer Membrane,0.0157,0.3519,0.0301,0.0359,0.5050,0.0613
830,A0A1Y4GGU8,Periplasmic,0.0559,0.1303,0.1500,0.0164,0.1493,0.4980
831,A0A2K0XLC5,Outer Membrane,0.0085,0.3722,0.0006,0.0301,0.5284,0.0601
832,R6TLN5,Outer Membrane,0.0016,0.1168,0.0034,0.1429,0.7331,0.0022
833,A0A352IB99,Outer Membrane,0.0005,0.1537,0.0018,0.0030,0.4510,0.3900
834,A0A350TKF6,Extracellular,0.0016,0.5304,0.0512,0.2347,0.0249,0.1570
835,U2J9X2,Outer Membrane,0.0035,0.1521,0.0052,0.1673,0.6390,0.0330
836,S0FDE6,Extracellular,0.0065,0.4328,0.0503,0.0405,0.2131,0.2567
837,D3HZG1,Periplasmic,0.0016,0.0875,0.0021,0.1021,0.2904,0.5162
838,R6BYQ0,Extracellular,0.0218,0.3447,0.0113,0.2297,0.1690,0.2236
839,R6D1M5,Cytoplasmic Membrane,0.0015,0.3369,0.0190,0.4416,0.0616,0.1395
840,A0A3B9CF14,Extracellular,0.0078,0.4409,0.0014,0.1439,0.3652,0.0407
841,C8WJC2,Cytoplasmic Membrane,0.0384,0.2280,0.0015,0.6267,0.0566,0.0487
842,A0A355U904,Outer Membrane,0.0095,0.1512,0.0021,0.0028,0.8260,0.0083
843,R6WAQ8,Outer Membrane,0.0011,0.0313,0.0020,0.0565,0.7895,0.1196
844,A0A174E6R9,Extracellular,0.0096,0.3170,0.0270,0.2505,0.2095,0.1864
845,R5JJT9,Outer Membrane,0.0118,0.1047,0.0002,0.1125,0.7302,0.0406
846,U7UGS5,Outer Membrane,0.0077,0.2572,0.0009,0.0323,0.6209,0.0810
847,A0A1M7G7R9,Extracellular,0.0033,0.4623,0.0015,0.1362,0.3921,0.0046
848,A0A316MTR5,Extracellular,0.0065,0.7498,0.0099,0.0021,0.2178,0.0140
849,A0A1Q6NWJ2,Outer Membrane,0.0006,0.1810,0.0001,0.0148,0.8029,0.0006
850,A0A3D1X955,Outer Membrane,0.0027,0.0794,0.0122,0.2753,0.5050,0.1254
851,R6BCT4,Extracellular,0.0282,0.8542,0.0004,0.0644,0.0126,0.0404
852,I0TEB1,Outer Membrane,0.0041,0.1423,0.0041,0.0957,0.6496,0.1042
853,C5EQ98,Extracellular,0.0013,0.5234,0.0261,0.1619,0.0390,0.2483
854,A0A1Y4IVP0,Extracellular,0.0321,0.3975,0.2964,0.1492,0.0083,0.1165
855,C0D576,Periplasmic,0.0154,0.3161,0.0785,0.2397,0.0334,0.3169
856,A0A396AAF8,Extracellular,0.0518,0.5450,0.0046,0.3442,0.0512,0.0031
857,A0A1R4EEA4,Extracellular,0.0307,0.5229,0.0320,0.1377,0.0731,0.2034
858,A0A099I3J6,Extracellular,0.0067,0.3417,0.0027,0.2809,0.3125,0.0556
859,A0A316LLX9,Cytoplasmic Membrane,0.0103,0.3271,0.0062,0.6456,0.0106,0.0002
860,A0A1Y3YI04,Cytoplasmic Membrane,0.0964,0.3553,0.0275,0.4392,0.0400,0.0416
861,K9EJC2,Extracellular,0.0891,0.4304,0.0034,0.3529,0.0457,0.0786
862,A0A1Q8DV26,Extracellular,0.0122,0.3733,0.0095,0.2244,0.1012,0.2795
863,A0A1C7FPN3,Extracellular,0.0076,0.5259,0.2297,0.0602,0.0151,0.1615
864,A0A1Y4WJ06,Extracellular,0.0090,0.6732,0.0092,0.1720,0.0647,0.0719
865,R5FSL1,Outer Membrane,0.0014,0.0261,0.0002,0.0944,0.8736,0.0043
866,A0A255U3H5,Extracellular,0.0022,0.6892,0.0008,0.0030,0.2048,0.0999
867,R7EPQ7,Outer Membrane,0.0028,0.1141,0.0249,0.1715,0.4887,0.1981
868,F7UVA9,Cytoplasmic Membrane,0.0131,0.2088,0.0004,0.6941,0.0440,0.0395
869,R6EYC8,Outer Membrane,0.0001,0.0035,0.0003,0.0003,0.8786,0.1172
870,R6T488,Outer Membrane,0.0004,0.0058,0.0009,0.0005,0.8606,0.1319
871,A0A358LKH2,Extracellular,0.0178,0.3492,0.0091,0.3088,0.1119,0.2032
872,C9MPR7,Outer Membrane,0.0040,0.1763,0.0083,0.0707,0.5812,0.1594
873,R6WRV0,Outer Membrane,0.0007,0.2021,0.0005,0.0041,0.6815,0.1111
874,A7VHU6,Extracellular,0.0072,0.5569,0.0007,0.1556,0.2708,0.0088
875,R5K8Z6,Extracellular,0.0432,0.5482,0.0062,0.3255,0.0544,0.0225
876,D4JTW3,Outer Membrane,0.0018,0.1636,0.0005,0.0490,0.7178,0.0673
877,A0A316PLX7,Outer Membrane,0.0112,0.1503,0.0025,0.2341,0.4741,0.1279
878,J3F3G9,Extracellular,0.0106,0.4667,0.0011,0.4045,0.0185,0.0986
879,A0A354UPA7,Outer Membrane,0.0005,0.0078,0.0002,0.0577,0.9075,0.0263
880,R7QZ48,Extracellular,0.0466,0.4401,0.0229,0.1758,0.0392,0.2753
881,A0A1Y4DIB8,Extracellular,0.0093,0.7222,0.0026,0.2040,0.0365,0.0255
882,A0A2V1IZ42,Outer Membrane,0.0011,0.0983,0.0015,0.0007,0.7569,0.1416
883,A0A2V2FMK7,Outer Membrane,0.0033,0.1778,0.0100,0.2575,0.3010,0.2503
884,R6UB57,Outer Membrane,0.0013,0.0214,0.0015,0.3516,0.5561,0.0681
885,R5SB80,Outer Membrane,0.0002,0.0065,0.0005,0.0005,0.8561,0.1362
886,G9PJA6,Cytoplasmic Membrane,0.0065,0.3325,0.0032,0.4903,0.0203,0.1471
887,A0A1Y4EK71,Extracellular,0.0028,0.5976,0.0039,0.0055,0.0032,0.3870
888,B0MM18,Extracellular,0.0019,0.9045,0.0050,0.0005,0.0468,0.0413
889,A0A1K1Y964,Extracellular,0.0037,0.4774,0.0088,0.3427,0.0732,0.0942
890,A0A1C7PD78,Cytoplasmic,0.0039,0.2890,0.6189,0.0411,0.0097,0.0374
891,A0A1C7PDD0,Extracellular,0.0098,0.5578,0.1808,0.0131,0.0183,0.2202
892,E1QX06,Extracellular,0.0049,0.6522,0.0030,0.1491,0.0949,0.0959
893,J1H2H7,Cytoplasmic Membrane,0.0038,0.1243,0.0015,0.7672,0.0670,0.0361
894,A0A3A6D838,Extracellular,0.0303,0.5248,0.0104,0.3457,0.0830,0.0058
895,A0A3D2HNY7,Outer Membrane,0.0002,0.0038,0.0000,0.0389,0.9388,0.0183
896,A0A316Q906,Outer Membrane,0.0037,0.0888,0.0081,0.1415,0.5723,0.1856
897,A0A2V2F676,Outer Membrane,0.0012,0.0390,0.0038,0.1962,0.6196,0.1401
898,A0A2V2CTE9,Cytoplasmic Membrane,0.0026,0.1490,0.0150,0.4125,0.2778,0.1431
899,R6U1A8,Outer Membrane,0.0011,0.3664,0.0014,0.0322,0.5531,0.0457
900,G5IN71,Extracellular,0.0199,0.3804,0.0484,0.3071,0.0729,0.1714
901,A0A3D5TLC7,Outer Membrane,0.0014,0.0242,0.0001,0.0939,0.7062,0.1742
902,A0A174G974,Extracellular,0.0039,0.4919,0.0009,0.0978,0.3545,0.0510
903,A0A316LJB6,Outer Membrane,0.0023,0.2344,0.0002,0.0100,0.4169,0.3361
904,A0A117J408,Extracellular,0.0049,0.5586,0.0043,0.3282,0.0540,0.0501
905,R6ITA7,Outer Membrane,0.0016,0.0441,0.0001,0.1644,0.6341,0.1556
906,R6W2S8,Outer Membrane,0.0208,0.4329,0.0015,0.0156,0.4966,0.0326
907,R6WEB2,Extracellular,0.0437,0.6632,0.0083,0.2657,0.0129,0.0061
908,A0A174S1T3,Extracellular,0.0130,0.3977,0.1767,0.0663,0.3118,0.0345
909,R5QCJ6,Outer Membrane,0.0024,0.0226,0.0004,0.1022,0.7846,0.0878
910,C4IFR8,Extracellular,0.0048,0.9864,0.0001,0.0001,0.0080,0.0005
911,R6LHW8,Cytoplasmic Membrane,0.0047,0.2248,0.0376,0.4591,0.1075,0.1663
912,E0DIF3,Cytoplasmic,0.0004,0.1644,0.8228,0.0077,0.0011,0.0035
913,A0A358X1C2,Outer Membrane,0.0007,0.0074,0.0003,0.1670,0.7078,0.1167
914,R6HAY5,Cytoplasmic Membrane,0.0099,0.3920,0.0066,0.5683,0.0022,0.0210
915,A0A372SRS3,Extracellular,0.0516,0.8252,0.0037,0.1082,0.0110,0.0003
916,A0A0U2VRT8,Cytoplasmic Membrane,0.0185,0.0305,0.0085,0.3815,0.3024,0.2586
917,A0A1E7RYU9,Outer Membrane,0.0245,0.0260,0.0101,0.2942,0.4211,0.2241
918,D6E807,Extracellular,0.0413,0.4676,0.0089,0.2733,0.0814,0.1275
919,A0A354NH33,Extracellular,0.0051,0.4100,0.0168,0.3427,0.0609,0.1645
920,C9KSI9,Outer Membrane,0.0159,0.2632,0.1976,0.0519,0.4182,0.0532
921,A0A1Y4KY91,Extracellular,0.0059,0.6126,0.0133,0.1673,0.0318,0.1691
922,A0A1C7PDQ8,Extracellular,0.0026,0.5682,0.2808,0.0056,0.0006,0.1422
923,R6TUZ4,Outer Membrane,0.0008,0.0183,0.0006,0.1723,0.6497,0.1583
924,A0A1Y4DS78,Cytoplasmic Membrane,0.0026,0.4637,0.0004,0.5252,0.0055,0.0026
925,A0A350IIB9,Outer Membrane,0.0008,0.0514,0.0002,0.0010,0.8283,0.1183
926,R5FUN4,Outer Membrane,0.0006,0.0084,0.0003,0.0802,0.7362,0.1743
927,A0A3B9U9U1,Outer Membrane,0.0041,0.2680,0.0045,0.0106,0.5408,0.1720
928,A0A369LU58,Extracellular,0.0257,0.4354,0.0023,0.2410,0.2114,0.0842
929,A0A0X8K465,Extracellular,0.0043,0.5668,0.0006,0.2174,0.0431,0.1678
930,A0A1Y4WN82,Extracellular,0.0060,0.3766,0.0985,0.2100,0.0750,0.2339
931,A0A3E2WFD6,Cytoplasmic Membrane,0.0293,0.1626,0.0033,0.6190,0.1681,0.0177
932,A0A358LKX3,Outer Membrane,0.0022,0.0742,0.0003,0.0718,0.6724,0.1791
933,F3PBN1,Extracellular,0.0045,0.5231,0.0013,0.2901,0.0156,0.1654
934,R7ERN3,Cytoplasmic Membrane,0.0015,0.1082,0.0078,0.6058,0.1635,0.1133
935,A0A3D2CJ47,Cytoplasmic Membrane,0.0160,0.2580,0.0178,0.5262,0.1394,0.0426
936,A0A1C7PEF5,Cytoplasmic,0.0016,0.1216,0.4729,0.0164,0.0263,0.3611
937,A0A176U7I4,Extracellular,0.0418,0.7314,0.0338,0.0674,0.0042,0.1215
938,A0A1C7PEY2,Extracellular,0.0012,0.3868,0.3379,0.0472,0.0120,0.2150
939,R7J6G4,Extracellular,0.0031,0.6053,0.0012,0.0007,0.3658,0.0239
940,G1WLC8,Extracellular,0.0056,0.4676,0.0096,0.3375,0.1136,0.0661
941,A0A1Y4CDE5,Extracellular,0.0098,0.4748,0.0410,0.2093,0.0666,0.1985
942,R5YDL2,Extracellular,0.0091,0.3794,0.0098,0.2275,0.3278,0.0464
943,A8RT73,Cytoplasmic Membrane,0.0243,0.3367,0.0801,0.4011,0.0705,0.0873
944,A0A173Y7A9,Extracellular,0.0029,0.7035,0.0011,0.0064,0.1221,0.1640
945,R6SK36,Cytoplasmic Membrane,0.0017,0.1195,0.0006,0.5174,0.2240,0.1368
946,C5ETM8,Extracellular,0.0003,0.7228,0.0761,0.0009,0.0011,0.1988
947,A0A1C6HBT8,Extracellular,0.0049,0.5605,0.0115,0.2418,0.0646,0.1167
948,A0A1Y4BTG0,Extracellular,0.0102,0.4562,0.0024,0.4456,0.0486,0.0369
949,A0A1Y4DZB4,Extracellular,0.0037,0.6189,0.0076,0.2518,0.0185,0.0995
950,F0YTC1,Cytoplasmic Membrane,0.0411,0.1565,0.0058,0.5385,0.2497,0.0084
951,R6CXC8,Periplasmic,0.0057,0.1824,0.1261,0.2203,0.1870,0.2785
952,A0A087DGZ0,Cytoplasmic Membrane,0.0127,0.1803,0.0002,0.7939,0.0108,0.0021
953,A0A174PPB3,Extracellular,0.0015,0.6553,0.0056,0.0041,0.1178,0.2157
954,A0A1Y4CPY7,Extracellular,0.0165,0.7089,0.0049,0.1980,0.0226,0.0491
955,A0A1C5YW51,Extracellular,0.0306,0.6809,0.1161,0.0853,0.0338,0.0534
956,A0A1Y4WT79,Cytoplasmic Membrane,0.0033,0.4057,0.0065,0.5638,0.0069,0.0138
957,R5LJ24,Extracellular,0.0015,0.2810,0.0413,0.2023,0.2524,0.2214
958,D6N0W8,Cytoplasmic Membrane,0.0036,0.0745,0.0005,0.9056,0.0149,0.0009
959,A0A1Y4K367,Extracellular,0.0312,0.5172,0.0115,0.2938,0.0853,0.0610
960,A0A1Y4MER1,Cytoplasmic Membrane,0.1088,0.3640,0.0254,0.4388,0.0316,0.0315
961,A0A316QVS9,Cytoplasmic Membrane,0.0026,0.3227,0.1191,0.3768,0.0936,0.0852
962,A0A1Q8X0A7,Extracellular,0.0033,0.3855,0.0009,0.3737,0.0562,0.1804
963,R5HBJ0,Cytoplasmic Membrane,0.0271,0.3450,0.0026,0.4840,0.0633,0.0780
964,A0A369LHX3,Cytoplasmic Membrane,0.0070,0.1665,0.0005,0.3863,0.2298,0.2099
